id,title,description,image,method_of_making,animation,perceptual_realism,encodings,contextual,mechanisms,link
ex-039,Time is Running Out 2,Video Segment: 0:05-0:45.,media/ex-039.png,3D render,Dynamic,Intermediate,Size; Simple Materials; Count; Size; Size,Position; Orientation; Simple Materials; Spatial Arrangement - Scattering; Shape; Simple Materials; Camera; Lighting; Environment / Background,Rigid-Body Mechanics; Rigid-Body Mechanics; Force Fields & Particles,https://www.realworldvisuals.com/rwv-projects/time-is-running-out
ex-040,Blaue Blumen: Handcrafted Offline Data Visualization of Population Density,,media/ex-040.png,Photograph of physical artefact,Dynamic,High,Size; Position,Shape; Simple Materials; Spatial Arrangement - Geographical; Shape; Simple Materials; Orientation; Lighting,,https://dataphys.org/list/blaue-blumen-handcrafted-offline-data-visualization-of-population-density/
ex-041,Visualizing Costco’s Global Presence,,media/ex-041.png,Graphic design - Illustration,Static,Low,Size; Position; Simple Materials,Spatial Arrangement - Other; Environment / Background; Camera; Shape; Simple Materials,,https://www.voronoiapp.com/business/Visualizing-Costcos-Global-Presence-150
ex-042,Reasons for women jurors,,media/ex-042.png,Photograph of physical artefact,Static,High,Size; Segment / Cut; Position,Shape; Simple Materials; Spatial Arrangement - Stacking; Simple Materials; Shape; Lighting,,https://www.behance.net/gallery/27852263/Club-de-Creativos-y-de-Creativas-Cucumbers-and-Melons
ex-043,Human Induced Farmland degradation,"Roughly 33% of the world’s farmland — about 566 million hectares — is degraded due to human activity, threatening food security and ecosystem health.",media/ex-043.png,Graphic design - Illustration,Static,High,Material Transformations; Position; Size,Spatial Arrangement - Other; Shape; Environment / Background; Camera; Lighting; Shape; Simple Materials; Position,,https://www.voronoiapp.com/agriculture/Human-Induced-farmland-degradation-visualized-4542
ex-044,Rooms on the Market,,media/ex-044.png,Graphic design - Illustration,Static,Intermediate,Size; Simple Materials; Other; Position,Spatial Arrangement - Packing; Environment / Background; Camera,,https://www.madevisual.co/rooms-on-the-market-global-vacancy-by-category/
ex-045,Who's Your Father Star Wars,,media/ex-045.png,Graphic design - Illustration,Dynamic,Low,Size; Position; Simple Materials; Simple Materials; Shape; Position,Spatial Arrangement - Alignment; Other; Orientation,,https://chitchart.com/chart/star-wars
ex-046,Most Airports Worldwide,,media/ex-046.png,Graphic design - Illustration,Static,High,Size; Position,Other; Simple Materials; Shape; Spatial Arrangement - Alignment; Shape; Simple Materials; Shape; Simple Materials,Wind,https://chitchart.com/chart/most-airports-worldwide
ex-047,What's in a phone?,Video Segment: 1:28-2:16.,media/ex-047.png,3D render,Dynamic,Very high,Size; Simple Materials; Position; Simple Materials; Position; Size; Size,Spatial Arrangement - Alignment; Spatial Arrangement - Other; Shape; Simple Materials; Shape; Simple Materials; Camera; Lighting; Environment / Background,,https://www.realworldvisuals.com/rwv-projects/whats-in-a-phone
ex-048,Time is Running Out 1,Video Segment: 0:08-0:24.,media/ex-048.png,3D render,Dynamic,Intermediate,Size; Position,Shape; Simple Materials; Spatial Arrangement - Stacking; Environment / Background; Camera; Lighting,Fluids,https://www.realworldvisuals.com/rwv-projects/time-is-running-out
